Tweet, Result
And remember 💕, 1
Tesla Model Y receives highest safety score of any vehicle ever tested, 1
That’s not punny!, 1
Enter your destination &amp; your Tesla will automatically include Supercharging stops in your route, 1
Order a Tesla Powerwall battery for blackout protection! https://t.co/tEE4LDBD78, 1
And 90% of my comments are bots 🤖, 1
On a $/bot basis this deal is awesome, 1
Sure sounds higher than 5%!, 1
Now launching every ~5 days, 1
Falcon 9 launches Starlink to orbit for SpaceX’s sixth launch this month, 1
Spent the day walking entire Giga Berlin production line – team is doing excellent work!, 1

